SIGLA,NO_ENTIDADE,REDE,NU_PARTICIPANTES,MEDIA_CN,MEDIA_CH,MEDIA_MT,MEDIA_LC,MEDIA_REDACAO,MEDIA_GERAL, TAXA ,,,,,,,,,,,
AC,ESC 15 DE JUNHO,PUBLICA,111,443.38,489.72,450.92,469.3,561.81,463.33,72.1,TRUE,12014591,AC,ESC 15 DE JUNHO,public,489.72,443.38,469.3,450.92,463.33,154
AC,ESC ALCIMAR NUNES LEITAO,PUBLICA,51,431.3,517.76,429.05,471.98,617.55,462.52,42.1,TRUE,12011584,AC,ESC ALCIMAR NUNES LEITAO,public,517.76,431.3,471.98,429.05,462.52,121
AC,ESC ANTONIO OLIVEIRA DANTAS,PUBLICA,24,450.65,478.31,445.73,456.55,551.04,457.81,35.8,TRUE,12001945,AC,ESC ANTONIO OLIVEIRA DANTAS,public,478.31,450.65,456.55,445.73,457.81,67
AC,ESC ARGENTINA PEREIRA FEITOSA,PUBLICA,23,421.45,513.93,435.3,456.08,520.24,456.69,33.6,TRUE,12009725,AC,ESC ARGENTINA PEREIRA FEITOSA,public,513.93,421.45,456.08,435.3,456.69,68
AC,ESC ASSOCIACAO MODELAR DE ENSINO A M E,PRIVADA,11,483.55,543.49,492.62,526.31,672.5,511.49,40.7,TRUE,12022969,AC,ESC ASSOCIACAO MODELAR DE ENSINO A M E,private,543.49,483.55,526.31,492.62,511.49,27
AC,ESC BOA UNIAO ENSINO JOVEM,PUBLICA,11,460.67,529.02,432.7,489.35,547.73,477.93,18.3,TRUE,12091260,AC,ESC BOA UNIAO ENSINO JOVEM,public,529.02,460.67,489.35,432.7,477.93,60
AC,ESC BORGES DE AQUINO,PUBLICA,37,414.69,478.94,430.97,439.57,572.86,441.05,37.5,TRUE,12003050,AC,ESC BORGES DE AQUINO,public,478.94,414.69,439.57,430.97,441.05,99
AC,ESC CENTRO EDUCACIONAL E CULTURAL - META,PRIVADA,124,522.97,573.31,550.55,544.77,651.81,547.9,63.9,TRUE,12010936,AC,ESC CENTRO EDUCACIONAL E CULTURAL - META,private,573.31,522.97,544.77,550.55,547.9,194
AC,ESC CENTRO EDUCACIONAL LATO SENSU,PRIVADA,60,548.54,625.83,597.43,576.59,674.12,587.1,87,TRUE,12028835,AC,ESC CENTRO EDUCACIONAL LATO SENSU,private,625.83,548.54,576.59,597.43,587.1,69
AC,ESC COLEGIO ALTERNATIVO DO ACRE LTDA,PRIVADA,17,477.48,560.38,537.93,547.76,642.65,530.89,48.6,TRUE,12026409,AC,ESC COLEGIO ALTERNATIVO DO ACRE LTDA,private,560.38,477.48,547.76,537.93,530.89,35
